Frame: 2
 1.001124e+00 -4.877801e-03 -7.714855e+00
 -1.299074e-04 1.002843e+00 2.660434e+02
 0 0 1
Frame: 200
 1.001148e+00 -5.826494e-03 -5.972607e+00
 -4.635804e-04 1.002566e+00 -2.623291e+02
 0 0 1
Frame: 201
 1.001282e+00 -6.322985e-03 -6.822658e+00
 0 1.001687e+00 2.663398e+02
 0 0 1
Frame: 202
 1.000563e+00 -8.065805e-03 -4.408824e+00
 1.597384e-04 1.003448e+00 -2.630943e+02
 0 0 1
Frame: 203
 1.001017e+00 -5.974789e-03 -7.361537e+00
 -4.272958e-04 1.002237e+00 2.662369e+02
 0 0 1
Frame: 204
 1.000794e+00 -7.661011e-03 -5.784026e+00
 1.285162e-03 1.002913e+00 -2.632046e+02
 0 0 1
Frame: 205
 1.001362e+00 -7.835709e-03 -7.556656e+00
 1.765221e-03 1.002738e+00 2.654330e+02
 0 0 1
Frame: 206
 1.001059e+00 -7.953793e-03 -5.262360e+00
 1.715112e-03 1.003517e+00 -2.635481e+02
 0 0 1
Frame: 207
 1.001337e+00 -6.504522e-03 -8.975156e+00
 1.690551e-03 1.002855e+00 2.650656e+02
 0 0 1
Frame: 208
 1.000407e+00 -1.102017e-02 -4.508499e+00
 1.994567e-03 1.002396e+00 -2.636037e+02
 0 0 1
Frame: 209
 1.001317e+00 -8.919042e-03 -8.755172e+00
 1.489923e-03 1.002514e+00 2.654670e+02
 0 0 1
Frame: 210
 1.000958e+00 -6.400533e-03 -6.397304e+00
 9.923966e-04 1.002273e+00 -2.629120e+02
 0 0 1
Frame: 211
